Date Created,Tweet,Username
2013-06-19 15:42:05 -0500,#ColumbiaFalls Pea-sized #Hail mix w/Hvy #Rain downpour. Severe #TStorm. #MTwx #wxreport,CC_WxWitch
2013-06-19 15:23:31 -0500,"RT @NWSGreatFalls: If any #tstorms w/ #hail, strong #winds &amp; heavy #rain impact your location, please tell us about it! Send us a Tweet @NWSGreatFalls #mtwx",MTI15thm
2013-06-19 15:19:05 -0500,"If any #tstorms w/ #hail, strong #winds &amp; heavy #rain impact your location, please tell us about it! Send us a Tweet @NWSGreatFalls #mtwx",NWSGreatFalls
2013-06-19 15:18:33 -0500,RT @hopess13: Hail filled Monsoon #GladImInside #weather #rain #wind #hail #Idaho #Boise http://t.co/1uFaE2EcJN,BoiseDailyPhoto
2013-06-19 15:11:54 -0500,Hail filled Monsoon #GladImInside #weather #rain #wind #hail #Idaho #Boise http://t.co/OZsEzNCIne,hopess13
2013-06-19 14:51:33 -0500,RT @morganfaast: It's supposed to be summer. What is this ðŸ˜‘ #rain #hail,LaraTigardluna
2013-06-19 13:45:10 -0500,It's supposed to be summer. What is this ðŸ˜‘ #rain #hail,morganfaast
2013-06-19 11:17:23 -0500,This is the end.âš¡ #Omg #End #World #Storm #Lightning #Thunder #Rain #Hail #Clouds #Currently #Parisâ€¦ http://t.co/uz6emKFyHG,Sarassou
2013-06-19 05:42:55 -0500,"Tornadoes striking America weather patterns more dangerous , why ? find out now 
! http://t.co/yE27YyI9Ec #storm #thunder #rain #hail #snow",cheapprod
2013-06-19 00:42:08 -0500,"RT @NWSGreatFalls: 1135 pm - Storm near Dutton to move north thru Brady/The Knees by 1230 am. Lots of half inch #hail, brief heavy #rain main threats. #mtwx",MTI15thm
